"skill_id","name","description","activation","mana_cost","target_type","range","reference_stat","defense_stat","use_dice","base_effect","success_effect","failure_effect","additional_effect","cooldown","usable_with_ball","usable_without_ball","steal_bonus","pass_bonus","defense_multiplier","round_limit","action_type","element_id","uses_attribute","ends_action","skill_system","skill_type","required_level","allowed_state","resource_type","resource_cost","actor_primary_stat","actor_secondary_stat","defender_primary_stat","defender_secondary_stat","category","min_range","max_uses","purpose_tag","enabled","tie_rule","effect_mode","command_group","usable_after_move","display_order","ball_effect_type","ball_effect_base_rate","ball_effect_actor_stat","ball_effect_defender_stat","ball_effect_rate_per_diff","ball_effect_min_rate","ball_effect_max_rate","ball_hold_scope","ball_hold_range","ball_hold_include_self","equip_slot"
"single_power_push","押し退け","隣接する敵をダメージなしで後方へ1マス押し出す","active","2","adjacent_enemy","1","power","","false","0","force_move","","","1","true","true","0","0","1.0","0","position","","false","true","common","power","0","always","mana","2","","","","","single","1","0","position","true","defender","common","skill","true","250",,,,,,,,,,,"normal"
"single_speed_boost","加速","自分のスピードを次回以降の行動2回分だけ2上昇","active","2","self","0","speed","","false","0","modify_stat","","","2","true","true","0","0","1.0","0","buff","","false","true","common","speed","0","always","mana","2","","","","","single","0","0","buff","true","defender","common","skill","true","260",,,,,,,,,,,"normal"
"single_speed_slow","鈍足","2マス以内の敵1人のスピードを行動2回分だけ2低下","active","2","enemy","2","speed","","false","0","modify_stat","","","2","true","true","0","0","1.0","0","debuff","","false","true","common","speed","0","always","mana","2","","","","","single","1","0","debuff","true","defender","common","skill","true","270",,,,,,,,,,,"normal"
"single_technique_focus","精密操作","自分のテクニックを次回以降の行動2回分だけ2上昇","active","2","self","0","technique","","false","0","modify_stat","","","2","true","true","0","0","1.0","0","buff","","false","true","common","technique","0","always","mana","2","","","","","single","0","0","buff","true","defender","common","skill","true","280",,,,,,,,,,,"normal"
"single_technique_long_pass","ロングパス","主系統パスの射程を1マス増やす","active","2","ally","0","technique","","false","0","pass","","","1","true","false","0","0","1.0","0","pass","","false","true","common","technique","0","possession","mana","2","","","","","single","0","0","pass","true","defender","common","ball","true","290",,,,,,,,,,,"normal"
"single_stamina_recover","自己回復","スタミナを参照して自分のHPを回復","active","2","self","0","magic","","false","0","heal_hp","","","2","true","true","0","0","1.0","0","heal","","false","true","common","magic","0","always","mana","2","","","","","single","0","0","heal","true","defender","common","skill","true","300",,,,,,,,,,,"normal"
"single_stamina_guard","防御姿勢","次の自分の行動開始まで既存の防御状態になる","active","1","self","0","stamina","","false","0","guard","","","1","true","true","0","0","1.0","0","guard","","false","true","common","stamina","0","always","mana","1","","","","","single","0","0","defense","true","defender","common","wait","true","310",,,,,,,,,,,"normal"
"heal_hp","HP回復","自分または隣接する味方のHPを回復","active","3","self_or_ally","1","magic","","false","0","heal_hp","","","0","true","true","0","0","1.0","0","heal","","false","true","common","magic","0","always","mana","3","","","","","single","0","0","heal","true","defender","common","skill","true","20",,,,,,,,,,,"normal"
"recover_mp","MP回復","自分または2マス以内の味方のMPを回復","active","2","self_or_ally","2","magic","stamina","false","0","recover_mp","","","3","true","true","0","0","1.0","0","recover_mp","","false","true","magic","stamina","0","always","mana","2","","","","","basic","0","0","mp_support","true","defender","common","skill","true","30",,,,,,,,,,,"normal"
"pass_cut","パスカット","敵パスに反応してボールを落とす待機スキル","reaction_wait","2","self","0","power","technique","true","0","prepare_reaction","pass_continues","","1","false","true","0","0","1.0","0","reaction","","false","true","physical","technique","0","acquisition","mana","2","power","technique","magic","technique","basic","0","0","pass_disrupt","true","defender","common","ball","true","120",,,,,,,,,,,"normal"
"pass_cut","パスカット","敵パスに反応してボールを落とす待機スキル","reaction_wait","2","self","0","power","technique","true","0","prepare_reaction","pass_continues","","1","false","true","0","0","1.0","0","reaction","","false","true","physical","technique","0","acquisition","mana","2","power","technique","magic","technique","basic","0","0","pass_disrupt","true","defender","common","ball","true","120",,,,,,,,,,,"normal"
"ball_hold_power_banner","力の旗印","ボール保持中に2マス以内の味方のパワーを2上昇","automatic","0","self","0","power","","false","0","","","","0","true","false","0","0","1.0","0","passive","","false","false","common","power","0","possession","none","0","","","","","basic","0","0","ball_hold","true","defender","common","skill","true","400","none","0","","","5","0","0","aura","2","true","ball_hold"
"ball_hold_speed_banner","疾風の旗印","ボール保持中に2マス以内の味方のスピードを1上昇","automatic","0","self","0","speed","","false","0","","","","0","true","false","0","0","1.0","0","passive","","false","false","common","speed","0","possession","none","0","","","","","basic","0","0","ball_hold","true","defender","common","skill","true","410","none","0","","","5","0","0","aura","2","true","ball_hold"
"ball_hold_march_banner","進軍の旗印","ボール保持中に1マス以内の味方の移動力を1上昇","automatic","0","self","0","speed","","false","0","","","","0","true","false","0","0","1.0","0","passive","","false","false","common","speed","0","possession","none","0","","","","","basic","0","0","ball_hold","true","defender","common","skill","true","420","none","0","","","5","0","0","aura","1","true","ball_hold"
"ball_hold_stamina_banner","不屈の旗印","ボール保持中に2マス以内の味方のスタミナを3上昇","automatic","0","self","0","stamina","","false","0","","","","0","true","false","0","0","1.0","0","passive","","false","false","common","stamina","0","possession","none","0","","","","","basic","0","0","ball_hold","true","defender","common","skill","true","430","none","0","","","5","0","0","aura","2","true","ball_hold"
"ball_hold_technique_banner","精密の旗印","ボール保持中に2マス以内の味方のテクニックを2上昇","automatic","0","self","0","technique","","false","0","","","","0","true","false","0","0","1.0","0","passive","","false","false","common","technique","0","possession","none","0","","","","","basic","0","0","ball_hold","true","defender","common","skill","true","440","none","0","","","5","0","0","aura","2","true","ball_hold"
"ball_hold_magic_banner","魔力の旗印","ボール保持中に2マス以内の味方の魔法を2上昇","automatic","0","self","0","magic","","false","0","","","","0","true","false","0","0","1.0","0","passive","","false","false","common","","0","possession","none","0","","","","","basic","0","0","ball_hold","true","defender","common","skill","true","450","none","0","","","5","0","0","aura","2","true","ball_hold"
"ball_hold_iron_self","鉄壁の保持","ボール保持中の本人のスタミナを3上昇","automatic","0","self","0","stamina","","false","0","","","","0","true","false","0","0","1.0","0","passive","","false","false","common","stamina","0","possession","none","0","","","","","basic","0","0","ball_hold","true","defender","common","skill","true","460","none","0","","","5","0","0","self","0","true","ball_hold"
"ball_hold_fast_self","高速の保持","ボール保持中の本人の移動力を1上昇","automatic","0","self","0","speed","","false","0","","","","0","true","false","0","0","1.0","0","passive","","false","false","common","speed","0","possession","none","0","","","","","basic","0","0","ball_hold","true","defender","common","skill","true","470","none","0","","","5","0","0","self","0","true","ball_hold"
"ball_hold_precise_self","精巧な保持","ボール保持中の本人のテクニックを2上昇","automatic","0","self","0","technique","","false","0","","","","0","true","false","0","0","1.0","0","passive","","false","false","common","technique","0","possession","none","0","","","","","basic","0","0","ball_hold","true","defender","common","skill","true","480","none","0","","","5","0","0","self","0","true","ball_hold"
